                  Delete,删除
Coupon does not match,优惠券不匹配
Coupon removed successfully!,优惠券已移除
Coupons,优惠券列表
Couva-Tabaquite-Talparo,Couva-Tabaquite-Talparo
Covasna,Covasna
Coyah,Coyah
CPU,CPU
Create,创建
Create a new attribute,新建属性
Create a new category,新建分类
Create a new cms page,新建 CMS 页面
Create a new collection,新建商品集
Create a new coupon,新建优惠券
Create A New Customer,新建客户
Create a new group,新建分组
Create a new product,新建商品
Create a new widget,新建小部件
Create account,创建账户
Create an account,创建账户
Create new tax class,新建税类
Create New Tax Class,新建税类
Create New Zone,新建区域
Created,已创建
Created At,创建时间
Credit,信用
Credit memo,贷项通知单
Credits,致谢
Crensovci,Crensovci
Criuleni,Criuleni
Crnomelj,Crnomelj
Croatia,Croatia
Cron jobs,定时任务
Cross River,Cross River
Cross-sell products,交叉销售商品
Csongrad,Csongrad
CSV,CSV
Cuba,Cuba
Cucer Sandevo,Cucer Sandevo
Cundinamarca,Cundinamarca
Cunene,Cunene
Currency,货币
Cuscatlan,Cuscatlan
Cusco,Cusco
Custom,自定义
Customer,客户
Customer conditions,客户条件
Customer does not have any order yet.,该客户暂无订单。
Customer Email,客户邮箱
Customer emails,客户邮箱
Customer groups,客户分组
Customer Information,客户信息
Customer Name,客户姓名
Customer notes,客户备注
Customer's purchase,客户购买
Customer\,Customer\
Customers,客户列表
Customers (${count}),客户（${count}）
Cuvette,Cuvette
Cuvette-Ouest,Cuvette-Ouest
Cuyuni-Mazaruni,Cuyuni-Mazaruni
Cyprus,Cyprus
Czech Republic,Czech Republic
Da Nang,Da Nang
Dabola,Dabola
Dadra and Nagar Haveli,Dadra and Nagar Haveli
Daegu-gwangyeoksi,Daegu-gwangyeoksi
Daejeon-gwangyeoksi,Daejeon-gwangyeoksi
Dagana,Dagana
"Dagestan, Respublika","Dagestan, Respublika"
Dahuk,Dahuk
Daily,按日
Dajabon,Dajabon
Dak Lak,Dak Lak
Dakar,Dakar
Dakhlet Nouadhibou,Dakhlet Nouadhibou
Dalaba,Dalaba
Dalarnas lan,Dalarnas lan
Daman and Diu,Daman and Diu
Dambovita,Dambovita
Danilovgrad,Danilovgrad
Dar es Salaam,Dar es Salaam
Darhan uul,Darhan uul
Darien,Darien
Darnah,Darnah
dashboard,控制台
Dashboard,控制台
Daskasan,Daskasan
Dasoguz,Dasoguz
Data deletion,数据删除
Data export,数据导出
Date and time must be after ${min},日期时间必须晚于 ${min}
Date and time must be before ${max},日期时间必须早于 ${max}
Date format,日期格式
Date must be after ${min},日期必须晚于 ${min}
Date must be before ${max},日期必须早于 ${max}
Daugavpils novads,Daugavpils novads
Davao del Sur,Davao del Sur
Davao Oriental,Davao Oriental
Daykundi,Daykundi
Dayr az Zawr,Dayr az Zawr
Deactivate,停用
Deals,交易
Debar,Debar
Debarca,Debarca
Debit,借记
Debug mode,调试模式
Decline,拒绝
Dedza,Dedza
Default,默认
Default country,默认国家
Default currency,默认货币
Default language,默认语言
Default variant,默认规格
Delaware,Delaware
Delcevo,Delcevo
Delete,删除
DELETE,DELETE
Delete ${count} attributes,删除 ${count} 个属性
Delete ${count} categories,删除 ${count} 个分类
Delete ${count} collections,删除 ${count} 个商品集
Delete ${count} coupons,删除 ${count} 张优惠券
Delete ${count} pages,删除 ${count} 个页面
Delete ${count} products,删除 ${count} 件商品
Delete ${count} widgets,删除 ${count} 个小部件
Delete address API not available,删除地址接口不可用
Delete image,删除图片
Deleted,已删除
Delhi,Delhi
Delivered,已送达
Delta,Delta
Delta Amacuro,Delta Amacuro
Demerara-Mahaica,Demerara-Mahaica
Demir Hisar,Demir Hisar
Demir Kapija,Demir Kapija
Denguele,Denguele
Denizli,Denizli
Denmark,Denmark
Dennery,Dennery
Deposit,充值
Deposit to,充值地址
Description,描述
Description is required,请填写描述
Deselect all,取消全选
Destrnik,Destrnik
Details,详情
Development,开发环境
Dhaalu,Dhaalu
Dhaka,Dhaka
Dhamar,Dhamar
Dhawalagiri,Dhawalagiri
Dhi Qar,Dhi Qar
Diber,Diber
Diego Martin,Diego Martin
Diekirch,Diekirch
Dien Bien,Dien Bien
Diffa,Diffa
Digital product,数字商品
Dikhil,Dikhil
Dili,Dili
Dimashq,Dimashq
Dimension unit,尺寸单位
Dingli,Dingli
Dinguiraye,Dinguiraye
Diourbel,Diourbel
Dire Dawa,Dire Dawa
Disable,禁用
Disable ${count} coupons,禁用 ${count} 张优惠券
Disable ${count} customers,禁用 ${count} 位客户
Disable ${count} pages,禁用 ${count} 个页面
Disable ${count} products,禁用 ${count} 件商品
Disable ${count} widgets,禁用 ${count} 个小部件
Disabled,已禁用
Disconnect,断开
Discount,折扣
Discount amount,折扣金额
Discount amount is required,请填写折扣金额
Discount percent,折扣百分比
Discount Type,折扣类型
Discount type is required,请选择折扣类型
Discount(${coupon}),折扣（${coupon}）
Disk,磁盘
Dislay Name,显示名称
Display Name,显示名称
Display on Frontend?,在前台显示？
Distributors,分销商
District of Columbia,District of Columbia
Distrito Capital,Distrito Capital
Distrito Capital de Bogota,Distrito Capital de Bogota
Distrito Federal,Distrito Federal
Distrito Nacional (Santo Domingo),Distrito Nacional (Santo Domingo)
Divaca,Divaca
Diyala,Diyala
Diyarbakir,Diyarbakir
Djelfa,Djelfa
Djibouti,Djibouti
Dnipropetrovska oblast,Dnipropetrovska oblast
Dobeles novads,Dobeles novads
Dobrich,Dobrich
Documentation,文档
Dodoma,Dodoma
Does not exist,不存在
Dojran,Dojran
Dokolo,Dokolo
Dolj,Dolj
Dolneni,Dolneni
Dolnoslaskie,Dolnoslaskie
Dominica,Dominica
Dominican Republic,Dominican Republic
Domzale,Domzale
Donduseni,Donduseni
Donegal,Donegal
Donetska oblast,Donetska oblast
Dong Nai,Dong Nai
Dong Thap,Dong Thap
Donga,Donga
Dornod,Dornod
Dornogovi,Dornogovi
Dosso,Dosso
Doukhala-Abda,Doukhala-Abda
Dowa,Dowa
Downgrade,降级
Downgrade plan,降级方案
Download,下载
Downloadable,可下载
Draft,草稿
Drag and drop,拖拽上传
Dravograd,Dravograd
Drenthe,Drenthe
Drochia,Drochia
Duarte,Duarte
Dubasari,Dubasari
Dubayy,Dubayy
Dublin,Dublin
Dubreka,Dubreka
Dubrovacko-neretvanska zupanija,Dubrovacko-neretvanska zupanija
Dumyat,Dumyat
Dundagas novads,Dundagas novads
Dundgovi,Dundgovi
Duplicate,复制
Durango,Durango
Duration,耗时
Durazno,Durazno
Durres,Durres
Dushanbe,Dushanbe
Duzce,Duzce
Dytiki Ellada,Dytiki Ellada
Dytiki Makedonia,Dytiki Makedonia
Dzavhan,Dzavhan
East Berbice-Corentyne,East Berbice-Corentyne
East Grand Bahama,East Grand Bahama
East New Britain,East New Britain
East Sepik,East Sepik
Eastern,Eastern
Eastern Cape,Eastern Cape
Eastern Equatoria,Eastern Equatoria
Eastern Highlands,Eastern Highlands
Eastern Province,Eastern Province
Eastern Samar,Eastern Samar
Ebon,Ebon
Ebonyi,Ebonyi
Ecuador,Ecuador
Edinet,Edinet
Edirne,Edirne
Edit,编辑
Edit Address,编辑地址
Edit Shipping Method,编辑配送方式
Edit Shipping Zone,编辑配送区域
Edit Tax Rate,编辑税率
Edit Tracking Info,编辑物流信息
Edit Variant,编辑规格
Editing #${orderNumber},编辑订单 #${orderNumber}
Editing ${code},编辑 ${code}
Editing ${name},编辑 ${name}
Editing widget ${name},编辑小部件 ${name}
Edo,Edo
Egypt,Egypt
Ehime,Ehime
Ekiti,Ekiti
El Bayadh,El Bayadh
El Beni,El Beni
El Callao,El Callao
El Oro,El Oro
El Oued,El Oued
El Paraiso,El Paraiso
El Progreso,El Progreso
El Salvador,El Salvador
El Seibo,El Seibo
El Tarf,El Tarf
Elazig,Elazig
Elbasan,Elbasan
Elias Pina,Elias Pina
Email,邮箱
Email is required,请填写邮箱
Email template,邮件模板
Embu,Embu
Emilia-Romagna,Emilia-Romagna
Enable,启用
Enable ${count} coupons,启用 ${count} 张优惠券
Enable ${count} customers,启用 ${count} 位客户
Enable ${count} pages,启用 ${count} 个页面
Enable ${count} products,启用 ${count} 件商品
Enable ${count} widgets,启用 ${count} 个小部件
Enable?,启用？
Enabled,已启用
Encamp,Encamp
End date,结束日期
End Date,结束日期
Ends with,结尾是
Enewetak and Ujelang,Enewetak and Ujelang
Enga,Enga
Engagement,互动
England,England
English River,English River
Enter attribute code,请输入属性代码
Enter attribute name,请输入属性名称
Enter Category Name,请输入分类名称
Enter Collection Name,请输入商品集名称
Enter coupon code,输入优惠码
Enter customer emails,请输入客户邮箱
Enter description,请输入描述
Enter group name,请输入分组名称
Enter meta description,请输入 Meta 描述
Enter Meta description,请输入 Meta 描述
Enter Meta Description,请输入 Meta 描述
Enter meta title,请输入 Meta 标题
Enter Meta title,请输入 Meta 标题
Enter Meta Title,请输入 Meta 标题
Enter page name,请输入页面名称
Enter price,请输入价格
Enter product name,请输入商品名称
Enter purchased amount,请输入购买金额
Enter quantity,请输入数量
Enter SKU,请输入 SKU
Enter tax class name,请输入税类名称
Enter the quantity,请输入数量
Enter URL key,请输入 URL 键
Enter URL Key,请输入 URL 键
Enter value for ${attribute},请输入${attribute}
Enter weight,请输入重量
Enter your email,请输入邮箱
Enter your new password,请输入新密码
Enter your password,请输入密码
Enter zone name,请输入区域名称
Entre Rios,Entre Rios
Enugu,Enugu
Environment,环境
Equal,等于
Equal or smaller,小于等于
Equals,等于
Equateur,Equateur
Equatorial Guinea,Equatorial Guinea
Erevan,Erevan
Eritrea,Eritrea
Erongo,Erongo
Error,错误
Error log,错误日志
Erzincan,Erzincan
Erzurum,Erzurum
Escaldes-Engordany,Escaldes-Engordany
Eschen,Eschen
Escuintla,Escuintla
Esfahan,Esfahan
Eskisehir,Eskisehir
Esmeraldas,Esmeraldas
Espaillat,Espaillat
Espirito Santo,Espirito Santo
Essequibo Islands-West Demerara,Essequibo Islands-West Demerara
Est,Est
Esteli,Esteli
Estonia,Estonia
Estuaire,Estuaire
Etela-Karjala,Etela-Karjala
Etela-Pohjanmaa,Etela-Pohjanmaa
Etela-Savo,Etela-Savo
Ethiopia,Ethiopia
Events,事件
Evora,Evora
Excel,Excel
Exchange rate,汇率
Exclude sale items,排除促销商品
Exclude tax,不含税
Excluding tax,不含税
Exit pages,退出页
Expand,展开
Expired,已过期
Expires at,过期时间
Export,导出
Export mapping,导出映射
Extension,扩展
Extensions,扩展
Extremadura,Extremadura
Extreme-Nord,Extreme-Nord
Failed,失败
Failed jobs,失败任务
Failed to add address,添加地址失败
Failed to add billing address,添加账单地址失败
Failed to add billing address.,添加账单地址失败。
Failed to add contact info,添加联系信息失败
Failed to add contact info.,添加联系信息失败。
Failed to add item to cart,加入购物车失败
Failed to add item.,添加商品失败
Failed to add payment method,添加支付方式失败
Failed to add payment method.,添加支付方式失败。
Failed to add product to cart,商品加入购物车失败
Failed to add shipping address,添加收货地址失败
Failed to add shipping address.,添加收货地址失败。
Failed to add shipping method,添加配送方式失败
Failed to add shipping method.,添加配送方式失败。
Failed to apply coupon,应用优惠券失败
Failed to apply coupon.,使用优惠券失败
Failed to checkout,结账失败
Failed to connect wallet,连接钱包失败
Failed to copy,复制失败
Failed to delete address,删除地址失败
Failed to fetch cart data,获取购物车数据失败
Failed to fetch shipping methods,获取配送方式失败
Failed to load wallet,加载钱包失败
Failed to place order,下单失败
Failed to place order. Please try again.,下单失败，请重试。
Failed to remove coupon,移除优惠券失败
Failed to remove coupon.,移除优惠券失败。
Failed to remove item.,移除商品失败
Failed to set shipping method,设置配送方式失败
Failed to set shipping note,设置配送备注失败
Failed to sync cart,同步购物车失败
Failed to update address,更新地址失败
Failed to update item.,更新商品失败
Failed to update shipment,更新配送信息失败
Failure URL,失败 URL
Falcon,Falcon
Falesti,Falesti
Falkland Islands,Falkland Islands
False,否
Farah,Farah
Faranah,Faranah
Faro,Faro
Faroe Islands,Faroe Islands
Fars,Fars
Faryab,Faryab
Fatick,Fatick
Featured image,主图
Featured Products,精选商品
Federacija Bosne i Hercegovine,Federacija Bosne i Hercegovine
Federally Administered Tribal Areas,Federally Administered Tribal Areas
Feedback,反馈
Fejer,Fejer
Fes-Boulemane,Fes-Boulemane
Fgura,Fgura
Fianarantsoa,Fianarantsoa
Field is required,此字段必填
Field mapping,字段映射
Fier,Fier
Fiji,Fiji
File size must be less than ${maxSize},文件大小不能超过 ${maxSize}
Filter,筛选
Filter by,筛选依据
Filter Products,筛选商品
Filters,筛选
Finland,Finland
Finnmark,Finnmark
First order only,仅首单
First-time sign-in links your wallet to a store account.,首次登录将钱包与商城账户绑定。
Fixed,固定金额
Fixed discount to entire order,整单固定金额折扣
Fixed discount to specific products,指定商品固定金额折扣
Flacq,Flacq
Flat rate cost,统一运费
Flevoland,Flevoland
Flores,Flores
Floresti,Floresti
Floriana,Floriana
Florida,Florida
Follows,关注
Fontvieille,Fontvieille
Footer,页脚
Forbidden,禁止访问
Forecariah,Forecariah
Forecast,预测
Forgot your password?,忘记密码？
Formosa,Formosa
France,法国
Francisco Morazan,Francisco Morazan
Free,免费
FREE,免费
Free shipping,免运费
Free shipping ?,免运费？
Free shipping?,免运费？
Free State,Free State
French Guiana,French Guiana
French Polynesia,French Polynesia
French Southern Territories,French Southern Territories
Frequency,频率
Fria,Fria
Fribourg,Fribourg
Friuli-Venezia Giulia,Friuli-Venezia Giulia
From,从
Fryslan,Fryslan
Fujian,福建省
Fukui,Fukui
Fukuoka,Fukuoka
Fukushima,Fukushima
Fulfill ${count} orders,发货 ${count} 个订单
Full name,姓名
Full Name,姓名
Full name is required,请填写姓名
Full Name is required,请填写姓名
Funafuti,Funafuti
Functions,函数
Funnels,漏斗
Fuzuli,Fuzuli
Gaafu Dhaalu,Gaafu Dhaalu
Gabes,Gabes
Gabon,Gabon
Gabrovo,Gabrovo
Gabu,Gabu
Gadabay,Gadabay
Gafsa,Gafsa
Gagaifomauga,Gagaifomauga
"Gagauzia, Unitatea teritoriala autonoma","Gagauzia, Unitatea teritoriala autonoma"
Galapagos,Galapagos
Galati,Galati
Galguduud,Galguduud
Galicia,Galicia
Gallery,图库
Galway,Galway
Gambela Hizboch,Gambela Hizboch
Gambia,Gambia
Gamprin,Gamprin
Ganca,Ganca
Gandaki,Gandaki
Gangwon-do,Gangwon-do
Gansu,甘肃省
Ganzourgou,Ganzourgou
Gao,Gao
Gaoual,Gaoual
Garissa,Garissa
Gasa,Gasa
Gateway timeout,网关超时
Gauteng,Gauteng
Gavleborgs lan,Gavleborgs lan
Gaza,Gaza
Gaziantep,Gaziantep
Gbarpolu,Gbarpolu
GDPR,GDPR
Gedaref,Gedaref
Gedo,Gedo
Gelderland,Gelderland
General,常规
General Information,基本信息
Geneve,Geneve
Georgia,Georgia
Germany,德国
GET,GET
Get qty,获得数量
Gevgelija,Gevgelija
Gezira,Gezira
Ghajnsielem,Ghajnsielem
Ghana,Ghana
Ghanzi,Ghanzi
Gharb-Chrarda-Beni Hssen,Gharb-Chrarda-Beni Hssen
Ghardaia,Ghardaia
Gharghur,Gharghur
Ghat,Ghat
Ghaxaq,Ghaxaq
Ghazni,Ghazni
Ghor,Ghor
Gia Lai,Gia Lai
Gibraltar,Gibraltar
Gifu,Gifu
Gilan,Gilan
Gilbert Islands,Gilbert Islands
Gilgit-Baltistan,Gilgit-Baltistan
Giresun,Giresun
Gisborne,Gisborne
Gitega,Gitega
Giurgiu,Giurgiu
Give Feedback,意见反馈
Gjirokaster,Gjirokaster
Glarus,Glarus
Glodeni,Glodeni
Gnagna,Gnagna
Go back,返回
Go home,返回首页
Go to Login,去登录
Go to my account,前往我的账户
Go to next page,下一页
Go to previous page,上一页
Goa,Goa
Goals,目标
Goh-Djiboua,Goh-Djiboua
Goias,Goias
Golestan,Golestan
Gomba,Gomba
Gombe,Gombe
Gone,已删除
Goranboy,Goranboy
Gorgol,Gorgol
Gorj,Gorj
Gornja Radgona,Gornja Radgona
Gorontalo,Gorontalo
Gostivar,Gostivar
Gotlands lan,Gotlands lan
Gourma,Gourma
Govi-Altay,Govi-Altay
Govi-Sumber,Govi-Sumber
Goycay,Goycay
Goygol,Goygol
Gracias a Dios,Gracias a Dios
Grad Zagreb,Grad Zagreb
Gradsko,Gradsko
Granada,Granada
Grand Bassa,Grand Bassa
Grand Cape Mount,Grand Cape Mount
Grand Casablanca,Grand Casablanca
Grand Gedeh,Grand Gedeh
Grand Kru,Grand Kru
Grand Port,Grand Port
Grand Total,订单总额
Grand-Est,Grand-Est
Grande Comore,Grande Comore
Granma,Granma
Grant type,授权类型
GraphQL,GraphQL
Graubunden,Graubunden
Gray,灰色
Greater,大于
Greater Accra,Greater Accra
Greater or equal,大于等于
Greater than,大于
Greece,Greece
Green,绿色
Greenland,Greenland
Grenada,Grenada
Grevenmacher,Grevenmacher
Gribingui,Gribingui
Groningen,Groningen
Gros Islet,Gros Islet
Grosuplje,Grosuplje
Group,分组
Group by,分组依据
Group Name,分组名称
Group name is required,请填写属性组名称
Grouped products,组合商品
Groups,分组
Guadalcanal,Guadalcanal
Guadeloupe,Guadeloupe
Guainia,Guainia
Guaira,Guaira
Guam,Guam
Guanacaste,Guanacaste
Guanajuato,Guanajuato
Guangdong,广东省
Guangxi,广西壮族自治区
Guantanamo,Guantanamo
Guarda,Guarda
Guarico,Guarico
Guatemala,Guatemala
Guaviare,Guaviare
Guayas,Guayas
Gudja,Gudja
Guekedou,Guekedou
Guelma,Guelma
Guelmim-Es Semara,Guelmim-Es Semara
Guera,Guera
Guernsey,Guernsey
Guerrero,Guerrero
Guidimaka,Guidimaka
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guizhou,贵州省
Gujarat,Gujarat
Gulbenes novads,Gulbenes novads
Gulf,Gulf
Gulu,Gulu
Gumushane,Gumushane
Gunma,Gunma
Guria,Guria
Guyana,Guyana
Gwangju-gwangyeoksi,Gwangju-gwangyeoksi
Gyeonggi-do,Gyeonggi-do
Gyeongsangbuk-do,Gyeongsangbuk-do
Gyeongsangnam-do,Gyeongsangnam-do
Gyor-Moson-Sopron,Gyor-Moson-Sopron
Ha Giang,Ha Giang
Ha Nam,Ha Nam
Ha Noi,Ha Noi
Ha Tinh,Ha Tinh
Haa,Haa
Haa Alifu,Haa Alifu
Haa Dhaalu,Haa Dhaalu
Haciqabul,Haciqabul
HaDarom,HaDarom
Hadjer Lamis,Hadjer Lamis
Hadramawt,Hadramawt
Hai Duong,Hai Duong
Hai Phong,Hai Phong
Hainan,海南省
Hainaut,Hainaut
Haiti,Haiti
Hajdu-Bihar,Hajdu-Bihar
Hajjah,Hajjah
Hakkari,Hakkari
Halab,Halab
Hallands lan,Hallands lan
Hamadan,Hamadan
Hamah,Hamah
Hamburg,Hamburg
HaMerkaz,HaMerkaz
Hamgyong-bukto,Hamgyong-bukto
Hamgyong-namdo,Hamgyong-namdo
Hamrun,Hamrun
Hanover,Hanover
Harare,Harare
Harbour Island,Harbour Island
Hardap,Hardap
Hareri Hizb,Hareri Hizb
Harghita,Harghita
Harjumaa,Harjumaa
Haryana,Haryana
Haskovo,Haskovo
Hatay,Hatay
Hato Mayor,Hato Mayor
HaTsafon,HaTsafon
Haut-Katanga,Haut-Katanga
Haut-Lomani,Haut-Lomani
Haut-Mbomou,Haut-Mbomou
Haut-Ogooue,Haut-Ogooue
Haut-Uele,Haut-Uele
Haute-Kotto,Haute-Kotto
Hauts-de-France,Hauts-de-France
Hawaii,Hawaii
Hawalli,Hawalli
Haz-Zabbar,Haz-Zabbar
Header,页眉
Headers,请求头
Health check,健康检查
Heard Island and McDonald Islands,Heard Island and McDonald Islands
Hebei,河北省
Hebron,Hebron
Hedmark,Hedmark
Hefa,Hefa
Heilongjiang,黑龙江省
Hello,您好
Helmand,Helmand
Help,帮助
Henan,河南省
Hentiy,Hentiy
Herat,Herat
Herceg-Novi,Herceg-Novi
Heredia,Heredia
Hermanas Mirabal,Hermanas Mirabal
Herrera,Herrera
Hessen,Hessen
Heves,Heves
Hhohho,Hhohho
Hidalgo,Hidalgo
Higest tax rate based on cart items,按购物车商品最高税率
Hiiraan,Hiiraan
Hiiumaa,Hiiumaa
Himachal Pradesh,Himachal Pradesh
Hims,Hims
Hincesti,Hincesti
Hiroshima,Hiroshima
Ho Chi Minh,Ho Chi Minh
Hoa Binh,Hoa Binh
Hoce-Slivnica,Hoce-Slivnica
Hodh ech Chargui,Hodh ech Chargui
Hodh el Gharbi,Hodh el Gharbi
Hofudborgarsvaedi utan Reykjavikur,Hofudborgarsvaedi utan Reykjavikur
Hoima,Hoima
Hokkaido,Hokkaido
Holguin,Holguin
Homa Bay,Homa Bay
Home,首页
Honduras,Honduras
Hong Kong SAR China,中国香港
Hooks,钩子
Hope Town,Hope Town
Hordaland,Hordaland
Horjul,Horjul
Hormozgan,Hormozgan
Houaphan,Houaphan
Houet,Houet
Hovd,Hovd
Hovedstaden,Hovedstaden
Hovsgol,Hovsgol
Hrastnik,Hrastnik
Hsinchu,Hsinchu
Hualien,Hualien
Huambo,Huambo
Huancavelica,Huancavelica
Huanuco,Huanuco
Hubei,湖北省
Huehuetenango,Huehuetenango
Huila,Huila
Hunan,湖南省
Hunedoara,Hunedoara
Hung Yen,Hung Yen
Hungary,Hungary
Hwanghae-bukto,Hwanghae-bukto
Hwanghae-namdo,Hwanghae-namdo
Hyogo,Hyogo
Ialomita,Ialomita
Ialoveni,Ialoveni
Iasi,Iasi
Ibaraki,Ibaraki
Ibb,Ibb
Ica,Ica
Iceland,Iceland
Ida-Virumaa,Ida-Virumaa
Idaho,Idaho
Idlib,Idlib
Idrija,Idrija
Iecavas novads,Iecavas novads
Ifugao,Ifugao
Ig,Ig
Iganga,Iganga
Igdir,Igdir
Iklin,Iklin
Ilam,Ilam
Ile-de-France,Ile-de-France
Ilfov,Ilfov
Ilinden,Ilinden
Ilirska Bistrica,Ilirska Bistrica
Illes Balears,Illes Balears
Illinois,Illinois
Illizi,Illizi
Ilocos Norte,Ilocos Norte
Ilocos Sur,Ilocos Sur
Iloilo,Iloilo
Image,图片
Images,图片
Imbabura,Imbabura
Imereti,Imereti
Imisli,Imisli
Imo,Imo
Import,导入
Import mapping,导入映射
In,包含
In stock,有货
In Stock,有货
Inactive,未启用
Incheon-gwangyeoksi,Incheon-gwangyeoksi
Inchiri,Inchiri
Incidents,事件
Include In Menu,加入菜单
Include in Store Menu?,加入店铺菜单？
Include tax,含税
Including tax,含税
Inclusive of tax ${totalTaxAmount},含税 ${totalTaxAmount}
Incukalna novads,Incukalna novads
Independencia,Independencia
India,印度
Indiana,Indiana
Indonesia,Indonesia
Info,信息
"Ingushetiya, Respublika","Ingushetiya, Respublika"
Inhambane,Inhambane
Insert,插入
Insert image,插入图片
Insights,洞察
Install,安装
Insufficient NBC balance. Top up your wallet before paying.,NBC 余额不足，请先充值后再支付。
Integrations,集成
Internal server error,服务器内部错误
Intibuca,Intibuca
Invalid cart,无效的购物车
Invalid coupon,无效的优惠券
Invalid email or password,邮箱或密码错误
Invalid format,格式无效
Invalid input,输入无效
Invalid quantity,数量无效
Inventory,库存
Invert selection,反选
Invitations,邀请
Invite,邀请
Invoice number,发票编号
Invoices,发票
Ioba,Ioba
Ionia Nisia,Ionia Nisia
Iowa,Iowa
Ipeiros,Ipeiros
Iran,Iran
Iraq,Iraq
Irbid,Irbid
Ireland,Ireland
Iringa,Iringa
Is compound,复合税
Is empty,为空
Is false,为假
Is Filterable?,可筛选？
Is not empty,不为空
Is Required?,必填？
Is true,为真
Isabel,Isabel
Isabela,Isabela
Ishikawa,Ishikawa
Isingiro,Isingiro
Isiolo,Isiolo
Isla,Isla
Isla de la Juventud,Isla de la Juventud
Islamabad,Islamabad
Islas de la Bahia,Islas de la Bahia
Isle of Man,Isle of Man
Ismayilli,Ismayilli
Isparta,Isparta
Israel,Israel
Istanbul,Istanbul
Istarska zupanija,Istarska zupanija
Italy,意大利
Itapua,Itapua
item,项
Item Total,商品小计
items,项
Ituri,Ituri
Ivancna Gorica,Ivancna Gorica
Ivano-Frankivska oblast,Ivano-Frankivska oblast
Iwate,Iwate
Izabal,Izabal
Izmir,Izmir
Izola,Izola
Jabat,Jabat
Jablanicki okrug,Jablanicki okrug
Jakarta Raya,Jakarta Raya
Jalal-Abad,Jalal-Abad
Jalapa,Jalapa
Jalisco,Jalisco
Jaluit,Jaluit
Jamaica,Jamaica
Jambi,Jambi
Jammu and Kashmir,Jammu and Kashmir
Jamtlands lan,Jamtlands lan
Janakpur,Janakpur
Janub al Batinah,Janub al Batinah
Janub ash Sharqiyah,Janub ash Sharqiyah
Janubi al Bahri al Ahmar,Janubi al Bahri al Ahmar
Japan,日本
Jarvamaa,Jarvamaa
Jasz-Nagykun-Szolnok,Jasz-Nagykun-Szolnok
Jaunjelgavas novads,Jaunjelgavas novads
Jaunpiebalgas novads,Jaunpiebalgas novads
Jaunpils novads,Jaunpils novads
Jawa Barat,Jawa Barat
Jawa Tengah,Jawa Tengah
Jawa Timur,Jawa Timur
Jazan,Jazan
Jegunovce,Jegunovce
Jeju-teukbyeoljachido,Jeju-teukbyeoljachido
Jekabpils novads,Jekabpils novads
Jelgava,Jelgava
Jelgavas novads,Jelgavas novads
Jendouba,Jendouba
Jenin,Jenin
Jeollabuk-do,Jeollabuk-do
Jeollanam-do,Jeollanam-do
Jericho and Al Aghwar,Jericho and Al Aghwar
Jersey,Jersey
Jerusalem,Jerusalem
Jesenice,Jesenice
Jharkhand,Jharkhand
Jiangsu,江苏省
Jiangxi,江西省
Jigawa,Jigawa
Jihocesky kraj,Jihocesky kraj
Jihomoravsky kraj,Jihomoravsky kraj
Jilin,吉林省
Jinja,Jinja
Jinotega,Jinotega
Jizzax,Jizzax
Jobs,任务
Jogevamaa,Jogevamaa
Johor,Johor
Join us for exclusive offers and order tracking,注册即可享受专属优惠与订单跟踪
Jonglei,Jonglei
Jonkopings lan,Jonkopings lan
Jordan,Jordan
Jowzjan,Jowzjan
JSON,JSON
Jubbada Dhexe,Jubbada Dhexe
Jubbada Hoose,Jubbada Hoose
Jujuy,Jujuy
Junin,Junin
Jura,Jura
Jurmala,Jurmala
Jutiapa,Jutiapa
Juznobacki okrug,Juznobacki okrug
Juznobanatski okrug,Juznobanatski okrug
JWT,JWT
Kaabong,Kaabong
Kaafu,Kaafu
Kabale,Kabale
Kabardino-Balkarskaya Respublika,Kabardino-Balkarskaya Respublika
Kabarole,Kabarole
Kaberamaido,Kaberamaido
Kabul,Kabul
Kachin,Kachin
Kadiogo,Kadiogo
Kaduna,Kaduna
Kaffrine,Kaffrine
Kafr ash Shaykh,Kafr ash Shaykh
Kagawa,Kagawa
Kagera,Kagera
Kagoshima,Kagoshima
Kahramanmaras,Kahramanmaras
Kainuu,Kainuu
Kairouan,Kairouan
Kajiado,Kajiado
Kakamega,Kakamega
Kalangala,Kalangala
Kalasin,Kalasin
Kalbacar,Kalbacar
Kalimantan Barat,Kalimantan Barat
Kalimantan Selatan,Kalimantan Selatan
Kalimantan Tengah,Kalimantan Tengah
Kalimantan Timur,Kalimantan Timur
Kalinga,Kalinga
Kaliro,Kaliro
Kalkara,Kalkara
Kalmar lan,Kalmar lan
"Kalmykiya, Respublika","Kalmykiya, Respublika"
Kamchatskiy kray,Kamchatskiy kray
Kamnik,Kamnik
Kampala,Kampala
Kamphaeng Phet,Kamphaeng Phet
Kampong Chaam,Kampong Chaam
Kampong Chhnang,Kampong Chhnang
Kampong Spueu,Kampong Spueu
Kampong Thum,Kampong Thum
Kampot,Kampot
Kamuli,Kamuli
Kamwenge,Kamwenge
Kanagawa,Kanagawa
Kanal,Kanal
Kanchanaburi,Kanchanaburi
Kandaal,Kandaal
Kandahar,Kandahar
Kanem,Kanem
Kangwon-do,Kangwon-do
Kankan,Kankan
Kano,Kano
